Белорусь|п. Пятигорск|пр. Чехова|1|51|1
Украина|к. Волхов|ул. Учительская|13|87|1
Белорусь|с. Мокшан|пер. Новосельский|9|27|1
Белорусь|д. Щельяюр|алл. Горького|13|75|2
Белорусь|клх Киржач|пр. Кирова|16|113|2
Россия|к. Курганинск|бул. Семашко|17|146|3
Белорусь|п. Охотск|алл. Петровская|15|138|4
Белорусь|п. Киров (Вятка)|пер. 50 лет Октября|4|42|4
Украина|клх Сунтар|ш. Суворова|1|45|5
Белорусь|клх Каменск-Шахтинский|наб. Ермака|19|131|5
Белорусь|с. Елатьма|наб. Автомобилистов|14|52|5
Украина|с. Красноселькуп|наб. Микрорайон|2|150|6
Россия|г. Мезень|наб. Свободы|14|119|6
Россия|п. Томари|пр. Чехова|2|119|6
Россия|г. Моршанск|ул. Дальневосточная|15|104|7
Россия|к. Волгоград|алл. Горная|2|173|8
Белорусь|ст. Анапа|бул. Радужный|5|53|9
Россия|с. Макушино|ш. Глинки|1|110|10
Украина|ст. Назрань|наб. Ватутина|2|144|11
Украина|к. Бодайбо|ш. Магистральное|12|148|11
Россия|г. Усть-Илимск|бул. Дарвина|3|179|12
Белорусь|п. Гремячинск (Перм.)|бул. 8 Марта|8|156|13
Белорусь|г. Курильск|ш. Кочубея|11|104|13
Украина|клх Кострома|ш. Байкальское|14|175|14
Белорусь|д. Вуктыл|наб. Павлова|7|36|14
Белорусь|г. Батайск|наб. Цветочная|7|17|14
Белорусь|г. Нижневартовск|пр. Рябиновый|13|19|15
Украина|п. Неплюевка|бул. Набережный|12|130|15
Россия|ст. Шамары|наб. Минская|19|173|15
Украина|г. Печора|ш. Техническое|15|106|16
Украина|г. Россошь|наб. Гайдара|10|86|16
Белорусь|с. Надым|бул. Карла Либкнехта|11|189|16
Украина|клх Кабанск|пер. Малый|14|11|17
Украина|д. Цимлянск|бул. Запрудный|2|196|17
Россия|д. Невьянск|ш. Торговое|13|103|17
Белорусь|с. Люберцы|алл. Волгоградская|7|182|18
Россия|д. Усмань|бул. Культуры|14|51|18
Белорусь|д. Чайковский|бул. Монтажников|17|127|19
Украина|к. Ростов-на-Дону|ш. Циолковского|3|108|19
Россия|с. Новомосковск|бул. Никитина|10|82|19
Белорусь|клх Серебряные Пруды|ш. Красина|15|99|20
Белорусь|д. Абинск|ш. Пограничное|3|157|20
Белорусь|д. Кимры|пр. Димитрова|15|199|20
Белорусь|ст. Белореченск|пер. Огородный|9|65|21
Белорусь|д. Астрахань|ш. Черемуховое|17|87|21
Белорусь|г. Лабытнанги|пер. Дружбы|10|47|21
Белорусь|д. Голицыно|пр. Бульварный|7|40|22
Белорусь|с. Забайкальск|пр. Рябиновый|10|195|22
Белорусь|с. Пушкино (Моск.)|пр. Прохладный|3|174|23
Украина|к. Набережные Челны|наб. Крымская|9|28|23
Белорусь|с. Белгород|бул. Октября|14|163|23
Белорусь|ст. Калуга|ул. Гафури|3|181|24
Белорусь|с. Новосибирск|бул. Центральный|5|28|24
Россия|д. Великий Устюг|пер. Кутузова|9|124|24
Россия|ст. Быково (метеост.)|бул. Клубный|12|110|25
Белорусь|д. Абакан|бул. Зеленый|17|117|26
Белорусь|к. Самара|наб. Гоголя|4|186|26
Россия|г. Химки|ш. Тепличное|16|6|26
Россия|с. Верхоянск|пер. Поперечный|2|1|27
Украина|п. Анапа|наб. Смоленская|13|85|28
Украина|к. Крымск|пер. Труда|17|188|28
Украина|с. Ноглики|ул. Энергетическая|5|175|28
Россия|к. Краснотурьинск|бул. Октября|15|78|29
Украина|г. Чебаркуль|наб. Горького|18|29|29
Россия|клх Новочеркасск|наб. Песчаная|9|156|30
Белорусь|п. Якутск|алл. Лермонтова|14|26|31
Белорусь|ст. Стерлитамак|алл. Кольцова|11|133|32
Украина|с. Бийск|наб. Северная|10|127|32
Белорусь|к. Горно-Алтайск|наб. Ульянова|16|19|32
Украина|клх Льгов|бул. Озерный|9|55|33
Россия|к. Верещагино (Перм.)|алл. Главная|14|110|33
Белорусь|г. Нурлат|пер. Декабристов|10|154|33
Украина|д. Чита|алл. Томская|19|191|34
Белорусь|п. Туруханск|ш. Пугачева|13|95|34
Россия|д. Инта|ш. Кочубея|18|1|34
Белорусь|п. Тымовское|пр. Черноморский|17|94|35
Украина|д. Курильск|наб. Папанина|19|117|36
Украина|клх Кедровый|наб. Рыбацкая|2|143|37
Украина|г. Невинномысск|наб. Мостовая|16|158|38
Белорусь|клх Кыштым|ш. Пугачева|9|97|38
Россия|ст. Чита|наб. Раздольная|1|53|38
Белорусь|г. Сыктывкар|алл. М.Горького|9|157|39
Россия|с. Котлас|ул. Дальняя|2|122|40
Белорусь|п. Котлас|ул. Рыбацкая|13|107|41
Белорусь|п. Чокурдах|пр. Ярославский|3|80|42
Украина|клх Терней|пр. Снежный|16|165|43
Украина|клх Москва|алл. Нефтяников|11|60|44
Россия|г. Шилка|наб. Детская|5|59|44
Украина|к. Оймякон|бул. Октябрьский|2|120|45
Россия|д. Пермь|наб. Рязанская|3|100|45
Россия|п. Заводоуковск|пер. Хвойный|18|1|46
Украина|ст. Катайск|пер. Ватутина|10|35|47
Белорусь|клх Кулунда|пер. Центральный|16|175|48
Украина|д. Киров (Вятка)|бул. Центральный|12|112|49
Белорусь|ст. Дубна|пер. Красногвардейский|4|169|50
Белорусь|ст. Сибай|пр. Светлый|16|141|50
Украина|ст. Беслан|бул. Ильича|14|110|51
Россия|с. Пенза|алл. Северная|19|1|51
Белорусь|ст. Кизляр|алл. Братская|19|84|51
Украина|с. Южно-Сахалинск|ул. Фадеева|9|107|52
Белорусь|с. Туапсе|пер. Мельничный|17|157|52
Украина|ст. Макушино|алл. Железнодорожная|17|174|53
Украина|ст. Оленегорск (Якут.)|бул. Дзержинского|2|149|53
Украина|клх Сунтар|алл. Дальневосточная|15|19|53
Украина|клх Снежногорск (Мурм.)|пер. Загородный|13|148|54
Белорусь|к. Черусти|ул. Ветеранов|13|12|55
Россия|д. Уэлен|ш. Культуры|19|19|56
Украина|ст. Середниково|алл. Центральная|7|120|56
Украина|г. Сосногорск|наб. Черемушки|19|153|57
Белорусь|г. Кажим|ш. Заозерное|15|144|57
Украина|ст. Химки|пер. Попова|9|113|57
Украина|ст. Зеленогорск (Ленин.)|ул. Ярославская|5|146|58
Украина|с. Елабуга|пр. Кольцова|18|151|58
Украина|клх Мураши|пер. Специалистов|13|116|58
Украина|г. Октябрьский (Башк.)|пр. Ватутина|3|136|59
Украина|ст. Оймякон|ул. Элеваторная|14|150|60
Украина|к. Южно-Курильск|пр. Малиновый|17|140|61
Украина|п. Кедровый|ш. Вавилова|3|133|61
Украина|к. Нефтеюганск|ул. Лесная|5|157|62
Украина|ст. Тутончаны|ул. Белинского|8|80|62
Белорусь|к. Карабудахкент|ул. Клубная|6|146|63
Украина|п. Клин|наб. Инженерная|14|61|64
Украина|п. Брянск|пер. Литейный|8|124|65
Белорусь|п. Кашира|пр. Черноморский|3|5|65
Россия|с. Минусинск|наб. Просторная|1|135|65
Россия|с. Гагарин|пр. ДОС|12|189|66
Белорусь|к. Всеволожск|пр. Мелиораторов|2|1|66
Украина|п. Ханты-Мансийск|ул. Краснопартизанская|3|51|67
Украина|к. Кирово-Чепецк|наб. Глинки|10|137|67
Россия|к. Стерлитамак|пер. Азовский|4|24|67
