Федорова|Нонна|Болеславовна|1997-10-22|8 (146) 020-8536|gusevaanastasija@example.com|5|0.5
Савин|Капитон|Давидович|1981-04-23|+7 (602) 936-05-08|harlampi_2011@example.com|2|0.4
Панова|Вера|Макаровна|1952-04-06|+7 (222) 472-8348|mamontovmili@example.org|8|0.6
Королева|Евфросиния|Сергеевна|1966-03-03|+7 676 190 0943|foka_47@example.net|1|1.3
Кондратьев|Клавдий|Ярославович|1989-01-12|8 (299) 139-73-61|yandreev@example.org|2|4.5
Селезнев|Аггей|Давыдович|1992-03-10|8 (121) 980-7234|hariton01@example.org|2|2.8
Тимофеева|Антонина|Евгеньевна|1963-11-16|89203807298|oleg_1984@example.org|5|0.2
Овчинникова|Ия|Геннадьевна|1979-05-12|+7 (326) 253-1531|avtonom_90@example.org|5|1.6
Лыткин|Викторин|Терентьевич|1967-08-08|87261036727|viktorija75@example.org|4|3.1
Баранова|Лора|Даниловна|1969-12-11|8 (315) 429-5128|danilovandron@example.net|8|1.8
Фомин|Гостомысл|Матвеевич|1962-11-05|8 (360) 300-25-70|aleksandrovaalla@example.net|2|4.6
Брагина|Нина|Тарасовна|1989-10-25|8 152 895 5655|kononovafaina@example.com|7|1.0
Соболев|Моисей|Германович|1948-02-13|+7 802 447 83 89|kornil1978@example.net|5|2.7
Борисова|Вероника|Геннадиевна|1946-04-08|8 (460) 294-87-00|averjan2017@example.com|7|4.9
Лебедева|Елена|Матвеевна|1971-05-30|+76360933889|julian71@example.net|9|0.8
Никитина|Ольга|Дмитриевна|1951-09-14|+7 (000) 122-0607|moise1978@example.com|8|0.7
Яковлев|Николай|Марсович|1974-11-01|+7 815 933 0285|grigorikudrjashov@example.org|7|3.4
Рожков|Эрнест|Евстигнеевич|1975-01-11|+7 649 025 00 81|foka77@example.org|6|4.1
Алексеева|Нонна|Эльдаровна|1966-11-06|8 (839) 464-72-24|jakub_1991@example.org|8|0.6
Пестова|Валерия|Харитоновна|1949-04-11|+7 796 384 62 32|zueviosif@example.org|3|4.4
Филатова|Ангелина|Викторовна|1960-12-10|+7 (025) 796-40-89|mihe37@example.org|2|3.0
Вишняков|Влас|Ильясович|1957-03-05|8 (905) 627-3574|panfil_1974@example.org|5|1.1
Блинова|Пелагея|Юрьевна|1962-08-15|+7 (745) 411-86-73|gorbachevamvrosi@example.com|3|1.9
Кудряшов|Елисей|Антипович|1959-04-09|+7 396 608 11 72|matveevvladlen@example.net|1|3.5
Лобанова|Светлана|Геннадиевна|1944-04-17|81292854339|mihalovnaum@example.net|4|2.3
Устинова|Нинель|Архиповна|1961-07-29|+7 677 031 54 70|polina_71@example.com|3|0.7
Дьячков|Гремислав|Фокич|1979-01-25|8 251 229 3610|rlapina@example.com|7|2.5
Моисеева|Евфросиния|Матвеевна|1953-04-25|+7 (258) 628-7739|prohor_1980@example.org|5|3.8
Гущин|Викентий|Еремеевич|1947-08-15|+7 950 661 45 61|naum1977@example.com|8|1.0
Буров|Ладислав|Жанович|1993-07-14|8 342 528 2966|lukija91@example.com|1|0.5
Горбунова|Виктория|Анатольевна|1960-07-14|+70307381459|marian21@example.org|2|0.2
Родионова|Фаина|Аскольдовна|1986-07-25|8 (377) 814-5341|dobromislevdokimov@example.net|7|0.9
Гусев|Софон|Ефимович|1990-05-12|+7 (408) 329-38-73|mir_23@example.net|9|3.9
Фадеев|Демьян|Владиленович|1952-07-25|+7 (704) 428-5654|gerasimevdokimov@example.org|6|2.3
Копылова|Валерия|Леонидовна|1983-10-16|+73605138986|saveliterentev@example.org|8|4.0
Жуков|Капитон|Васильевич|1941-02-03|88517144125|ermil_18@example.org|3|3.7
Лихачева|Галина|Кузьминична|1952-04-09|8 774 845 32 07|miheevapollinari@example.net|6|0.5
Крылов|Антонин|Устинович|1992-05-24|8 415 817 9544|boleslav_01@example.org|8|1.8
Шилова|Маргарита|Святославовна|1992-02-21|8 688 962 37 02|tarasovjaropolk@example.org|1|2.1
Шашков|Рюрик|Демьянович|1971-04-18|83014010257|ipati2016@example.com|9|3.5
Самойлова|Вера|Андреевна|1995-01-12|+7 131 276 92 10|ananikrjukov@example.com|8|3.8
Шилов|Влас|Харитонович|1949-01-24|8 (658) 087-0468|radislav_97@example.org|7|3.5
Голубев|Панкрат|Анатольевич|1964-05-16|+7 (694) 661-0245|tarasovjakov@example.com|6|3.3
Дорофеева|Маргарита|Аскольдовна|1995-11-25|+7 (729) 968-3545|jakushevanatoli@example.net|9|0.6
Никитин|Якуб|Юлианович|1995-02-27|+73166362832|ruslantsvetkov@example.net|2|4.1
Прохоров|Силантий|Ефимович|1965-09-24|+7 778 147 73 58|simon_1974@example.com|6|2.2
Игнатьев|Клавдий|Ильич|1957-03-09|+7 577 782 72 54|dementi1990@example.org|3|0.7
